postcode,postcode_space,postcode area,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Gigabit availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA
AB101QS,AB10 1QS,AB,0.0,97.3,0.0,0.0,0.0,2.7,97.3,97.3,97.3,0.0,0.0,0.0,2.7,97.3,0.0,97.3,0.0
AB101QT,AB10 1QT,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101QU,AB10 1QU,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101QX,AB10 1QX,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101QZ,AB10 1QZ,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101RA,AB10 1RA,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101RB,AB10 1RB,AB,0.0,17.6,0.0,0.0,0.0,82.4,17.6,17.6,17.6,0.0,0.0,0.0,82.4,17.6,0.0,17.6,0.0
AB101RD,AB10 1RD,AB,0.0,85.7,0.0,0.0,0.0,14.3,85.7,85.7,85.7,0.0,0.0,0.0,14.3,85.7,0.0,85.7,0.0
AB101RE,AB10 1RE,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101RG,AB10 1RG,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101RH,AB10 1RH,AB,14.3,85.7,0.0,0.0,0.0,0.0,100.0,100.0,85.7,0.0,0.0,0.0,0.0,85.7,0.0,100.0,0.0
AB101RJ,AB10 1RJ,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101RL,AB10 1RL,AB,0.0,92.3,0.0,0.0,0.0,7.7,92.3,92.3,92.3,0.0,0.0,0.0,7.7,92.3,0.0,92.3,0.0
AB101RN,AB10 1RN,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101RP,AB10 1RP,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
